"rowid","tweetid","retweetCount"
"1","970944097019187200",0
"2","970932406705360896",1
"3","970928305674301440",0
"4","970922040453750784",0
"5","970913823757602816",3
"6","970867027907956737",3
"7","970829539617189888",0
"8","970826509748527104",0
"9","970826482468769792",0
"10","970811386099093504",0
"11","970807241183055872",0
"12","970803385288003584",0
"13","970794773362696192",3
"14","970774199441731584",0
"15","970768773832695809",1
"16","970768408542408707",4
"17","970764006142115841",1
"18","970761217114562560",0
"19","970759375475240960",23
"20","970757362532388865",0
"21","970757090011590656",0
"22","970742187104317440",3
"23","970741988273410048",0
"24","970740397323403264",0
"25","970739672824647681",2
"26","970738668741767174",1
"27","970736101043269632",6
"28","970730934290079744",1
"29","970730313893650434",1
"30","970730254854705152",8
"31","970728329128153091",0
"32","970725056509874176",3
"33","970719512952700929",1
"34","970717297647259648",1
"35","970716471696461824",0
"36","970715717099278336",3
"37","970710171457675265",3
"38","970710030164152321",2
"39","970708066025877505",9
"40","970707574269075457",0
"41","970704973121097728",2
"42","970704334794186752",2
"43","970703836355678208",2
"44","970703178936340480",3
"45","970702631185403907",2
"46","970700956743749636",0
"47","970700832369934337",1
"48","970699612767039490",1
"49","970699209145012225",0
"50","970697002580357121",1
"51","970696004415774720",5
"52","970694433321750528",0
"53","970693629806301184",2
"54","970692033835913216",0
"55","970689584312053760",7
"56","970688762861834240",0
"57","970688109389271042",15
"58","970686417415344128",0
"59","970685016006152192",0
"60","970682009612931074",1
"61","970679836401373184",6
"62","970679080868892678",3
"63","970677793737596928",4
"64","970676586449113094",2
"65","970676163919171584",15
"66","970675975636836353",3
"67","970675312878112769",2
"68","970670031788003330",3
"69","970669720755154944",0
"70","970667898325864448",2
"71","970667087281737730",2
"72","970662578731982860",0
"73","970660239891681280",2
"74","970660212259610624",2
"75","970659966737465344",0
"76","970652769949503488",3
"77","970650601968238592",0
"78","970648787642454017",5
"79","970637815527723014",0
"80","970637553631047680",2
"81","970630345736548354",11
"82","970622816700772353",0
"83","970622492418166785",0
"84","970617037037932544",0
"85","970613433648414720",0
"86","970610888876216320",0
"87","970605091081347073",31
"88","970600156319141888",2
"89","970592278803775488",0
"90","970590387697078273",0
"91","970587359862456320",0
"92","970585779826253824",0
"93","970585627044536320",0
"94","970583564550049792",0
"95","970582988680556545",3
"96","970578503749046272",1
"97","970578196876943360",1
"98","970574394329362432",1
"99","970572338893918208",1
"100","970569446359257088",2
"101","970554928321236992",0
"102","970543479783702528",1
"103","970518531883151360",10
"104","970486600072298497",1
"105","970486597471830018",0
"106","970486587413983234",1
"107","970480309925015552",9
"108","970476664130912256",0
"109","970471177637462016",2
"110","970452051611308032",2
"111","970447657331249153",0
"112","970445155084963841",6
"113","970444231801270274",0
"114","970433985741578240",0
"115","970433715657588736",5
"116","970433169362227202",0
"117","970422987060019203",2
"118","970421376275247104",2
"119","970414475634532355",0
"120","970411251389095938",1
"121","970410548444753920",0
"122","970405932218793984",0
"123","970400376670138368",0
"124","970396783351300096",0
"125","970390835228479488",0
"126","970389417079779328",11
"127","970388026554814464",1
"128","970384019761303554",0
"129","970380070605946880",0
"130","970375575318573056",6
"131","970374310903865344",0
"132","970370773885050880",2
"133","970369529170849794",0
"134","970369161007370241",2
