"rowid","tweetid","retweetCount"
"135","970366787870253056",1
"136","970365327992410113",3
"137","970364166660939777",0
"138","970360804527788038",4
"139","970359772636762112",6
"140","970358655840333825",0
"141","970357924525760514",0
"142","970356700682313728",0
"143","970354595410141187",0
"144","970344767413514240",4
"145","970343300166225920",5
"146","970343275495346176",1
"147","970337986763255809",0
"148","970332054616494080",8
"149","970330500836614144",1
"150","970329945976328193",0
"151","970327542916841473",0
"152","970327004942708736",4
"153","970320639361011713",2
"154","970317971452252160",0
"155","970317006519009282",0
"156","970315700224053248",0
"157","970314064156151809",2
"158","970314056790892544",0
"159","970314035861344257",1
"160","970311018835562496",0
"161","970308902628855808",12
"162","970307814387277825",1
"163","970307245409034242",0
"164","970305143022514181",0
"165","970303894973812736",1
"166","970303729550479360",1
"167","970301723649732608",9
"168","970301589549404162",14
"169","970300472077836289",2
"170","970300383355719680",16
"171","970299925874405376",8
"172","970296679961448448",0
"173","970296275068489728",2
"174","970295670514049024",2
"175","970294798442749953",1
"176","970294114779648000",1
"177","970293260894769152",21
"178","970293059685638144",2
"179","970292348877000704",1
"180","970291836974764032",1
"181","970290111811346434",1
"182","970289319129862144",0
"183","970288564192927744",1
"184","970287852620795904",2
"185","970287127677284352",0
"186","970286611580661762",6
"187","970281888857325568",0
"188","970281049916936192",0
"189","970279507239342083",0
"190","970276235808043008",5
"191","970272488151109632",1
"192","970271741544226816",0
"193","970270062463602689",0
"194","970269642886434816",1
"195","970267881303879680",0
"196","970263975236718593",0
"197","970257125095149569",1
"198","970256716540588032",2
"199","970256248112283648",3
"200","970255547168710656",0
"201","970254693342568448",4
"202","970253022445129728",5
"203","970252662217244673",3
"204","970251803798405120",9
"205","970251542564614144",2
"206","970251414856519680",6
"207","970251136400809984",3
"208","970250375977734146",3
"209","970249092579422209",2
"210","970247983123128321",1
"211","970246179719086080",0
"212","970243477257760768",0
"213","970234439325413376",8
"214","970222965584547840",4
"215","970217431087108097",0
"216","970217365379063809",2
"217","970216027303940096",0
"218","970213716829638656",3
"219","970212501462880257",0
"220","970209514128576513",0
"221","970209073294598144",0
"222","970208269691076610",0
"223","970207602318692352",0
"224","970207600125063168",0
"225","970207453186011136",0
"226","970204760388194304",0
"227","970203072692654080",0
"228","970197324906426370",0
"229","970192182484357122",1
"230","970187149457940480",1
"231","970185669598437377",0
"232","970185445526130688",0
"233","970182528630972416",0
"234","970180856655495168",0
"235","970180575930839041",0
"236","970178917519601664",3
"237","970176098825744384",0
"238","970175243171098631",15
"239","970171861693751296",0
"240","970170877106012160",21
"241","970167744770457604",1
"242","970165679956676610",0
"243","970164563600596992",3
"244","970164066575515649",2
"245","970161932794810369",3
"246","970159754428510208",0
"247","970159571527524352",0
"248","970159401309962242",1
"249","970158880939495429",3
"250","970158636235415552",0
"251","970158266117390336",0
"252","970155646191534080",11
"253","970154313157783552",8
"254","970154121906057217",0
"255","970151149499310080",8
"256","970151137755058177",1
"257","970149479654543360",0
"258","970146834881630208",1
"259","970145872527831040",0
"260","970145825719427072",0
"261","970145768953778176",3
"262","970145382478106624",0
"263","970143666458251264",7
"264","970143606030897152",2
"265","970143128819728384",3
"266","970143061371228160",1
"267","970142269855510529",10
"268","970141329660444672",0
"269","970138529467699208",3
"270","970138210071465984",1
"271","970137665159938048",2
"272","970135561003589632",0
"273","970134988388798464",1
"274","970134576583598080",0
"275","970133285610369025",0
"276","970133173861519360",0
"277","970132157065846784",0
"278","970131897853595648",0
"279","970131804442284032",1
"280","970127447730528257",0
"281","970126295626641409",0
"282","970124018094432257",2
"283","970122901717266432",2
"284","970121666255835136",3
"285","970120613225316353",5
"286","970120134835752961",0
"287","970119790613458949",0
"288","970119040482951173",1
"289","970118121855029248",2
"290","970116670084800512",2
"291","970115671723008001",0
"292","970112686028656640",0
"293","970112606785564672",0
"294","970110683923795968",1
"295","970110578860744711",0
"296","970110531993522177",0
"297","970110318188822529",2
"298","970110245623205893",8
"299","970109750456221696",37
"300","970109021293301767",1
"301","970108887474032646",18
"302","970108535836233728",9
"303","970107232321986560",0
"304","970106055668756481",1
"305","970105729662226432",0
"306","970105406461800448",0
"307","970104886682628098",7
"308","970104790607949824",0
"309","970103749556412418",2
"310","970103537672884225",14
"311","970101738920321024",1
"312","970101638202617857",2
"313","970101523043835905",1
"314","970100966530867200",1
"315","970099892767965184",2
"316","970099170546679814",0
"317","970098182070808581",0
"318","970098083596939264",0
"319","970096502591778816",0
"320","970095136477712384",3
"321","970094949076209664",0
"322","970094603972984832",0
"323","970094296039874560",6
"324","970094043618213889",0
"325","970093970389745664",2
"326","970093622166278145",1
"327","970093164865372160",1
"328","970092537691234304",0
"329","970092417914458112",0
"330","970092198451662850",0
"331","970091983061573632",0
"332","970091218343481344",1
"333","970090322326941696",5
"334","970089671505076224",0
"335","970089565586370560",9
"336","970089295720714240",2
"337","970089131639533568",16
"338","970089108801429505",0
"339","970088602142171137",5
"340","970088298390654977",0
"341","970088241092349952",3
"342","970088209219690496",1
"343","970088175816372224",0
"344","970087884517617664",0
"345","970087830453129216",0
"346","970087470657392641",0
"347","970087254113832960",0
"348","970087245871906816",0
"349","970087078905171968",10
"350","970086607310204928",3
"351","970086592072355842",2
"352","970086426338508800",1
"353","970086425000493056",2
"354","970085626295894017",0
"355","970084918104530945",2
"356","970084666987474945",4
"357","970084610016251904",0
"358","970083680839503872",4
"359","970083546839814144",19
"360","970082719521624064",1
"361","970082682033131521",2
"362","970082673615081472",5
"363","970082662055636999",21
"364","970082301966192641",0
"365","970081814017662978",4
"366","970081534601555968",0
"367","970081430075297794",1
"368","970081006639251458",0
"369","970080832563154944",0
"370","970080444208336897",12
"371","970080422674628608",3
"372","970080312054173698",3
"373","970080163705876486",0
"374","970080010051706882",4
"375","970079320067706881",1
"376","970079218590679040",0
"377","970079216883691527",2
"378","970078973278474241",0
"379","970078869469380608",4
"380","970078836422594560",0
"381","970078545493024768",1
"382","970078472256282629",0
"383","970078399447347207",3
"384","970078390282801153",2
"385","970078374877106177",2
"386","970078229192216577",2
"387","970078021930676225",3
"388","970077986845229057",14
"389","970077938665345025",0
"390","970077804518834178",0
"391","970077712403582976",0
"392","970077701448052736",2
"393","970077660952059906",1
"394","970077487198818304",5
"395","970077209661763586",0
"396","970077008884584449",11
"397","970076897790095366",3
"398","970076781142298624",0
"399","970076779602997248",3
"400","970076743099977728",0
"401","970076674036568065",0
"402","970076581736611840",14
"403","970076560060542977",1
"404","970075472422998017",0
"405","970075388473901056",1
"406","970074442658332672",0
"407","970074428838174720",0
"408","970074393731837953",1
"409","970074267407798272",2
"410","970074139456360451",0
"411","970073797033431042",3
"412","970073589381726208",17
"413","970073242710011904",1
"414","970072870444568584",12
"415","970072667696058368",0
"416","970072510707453952",1
"417","970072457498546176",3
"418","970072200995885064",0
"419","970071968828542976",0
"420","970071872175050752",0
"421","970071643363139589",5
"422","970071475603505159",5
"423","970071436214849536",2
"424","970071323278942209",16
"425","970071322641432582",1
"426","970070929832337411",0
"427","970070910471430144",0
"428","970070847225581569",4
"429","970070488658726914",0
"430","970070488486735872",0
"431","970070212673404928",0
"432","970070004208164864",0
"433","970069840785534976",2
"434","970069811668529152",5
"435","970069792307798018",0
"436","970069772904947716",0
"437","970069699210833922",0
"438","970069633368842242",0
"439","970069498396139520",0
"440","970069419861987328",0
"441","970069306351353856",4
"442","970068880679952384",1
"443","970068231070371840",1
"444","970068114305093632",0
"445","970068060639031298",0
"446","970067789645078528",1
"447","970067578075910145",6
"448","970067421481590785",2
"449","970067121999839237",1
"450","970066767170228224",0
"451","970066299136065536",0
"452","970066044944637952",3
"453","970065867043205120",2
"454","970065690639167488",1
"455","970065443393335296",1
"456","970065296127078402",0
"457","970065293493133313",8
"458","970065094137741312",5
"459","970065087775035395",0
"460","970065074575630336",1
"461","970064883789201408",1
"462","970064708148645889",0
"463","970064707985035264",0
"464","970064677031108608",0
"465","970064417995018240",3
"466","970064252856913926",6
"467","970064204546891776",9
"468","970063857375903745",7
"469","970063827021778944",2
"470","970063769949925383",2
"471","970063621182156800",0
"472","970063492563730437",0
"473","970063420711202817",2
"474","970063210626760704",0
"475","970063139508248577",2
"476","970062381920538630",3
"477","970062253348282368",5
"478","970061864028778499",1
"479","970061631836381184",7
"480","970061577993977856",1
"481","970061305888591872",2
"482","970061209641811968",2
"483","970060927314915328",0
"484","970060440062570496",1
"485","970060331329445888",23
"486","970060326199808001",4
"487","970060246826840070",5
"488","970060110038003712",0
"489","970060024486744065",1
"490","970059786178977798",35
"491","970059770840387584",0
"492","970059719971831808",1
"493","970059626090700800",5
"494","970058871380246529",3
"495","970058845337931776",10
"496","970058808666947585",1
"497","970058808230899714",1
"498","970058732368551936",3
"499","970058666777960448",0
"500","970058468110434304",0
"501","970058336703008769",0
"502","970058122978058240",1
"503","970058009245356039",0
"504","970057984217899008",14
"505","970057823114670080",2
"506","970057716315099136",10
"507","970057630432587777",3
"508","970057625445523458",0
"509","970057498102239232",0
"510","970057263472930816",0
"511","970057227758260224",0
"512","970056970110754817",0
"513","970056820390641664",1
"514","970056674059997191",0
"515","970056509773303813",3
"516","970056457696751617",0
"517","970056333088251904",1
"518","970056227852988416",24
"519","970056225483145216",6
"520","970056223230963712",2
"521","970055965616852993",0
"522","970055915260047362",4
"523","970055878610075648",1
"524","970055789556707329",5
"525","970055777774919680",4
"526","970055754924339201",1
"527","970055749387849734",4
"528","970055642756022272",1
"529","970055553270546433",5
"530","970055275708235776",1
"531","970055022926024704",7
"532","970054983528976385",1
"533","970054962247094273",2
"534","970054799767973888",1
"535","970054705199054848",5
"536","970054450302869504",2
"537","970054369214377989",0
"538","970054106223017985",2
"539","970053703771348999",0
"540","970053532702388225",6
"541","970053510782996480",0
"542","970053495201193984",0
"543","970053202870616064",0
"544","970053188727595008",5
"545","970053178417848320",4
"546","970053040651886592",1
"547","970053020208848902",4
"548","970052843766992896",5
"549","970052676376412160",0
"550","970052641928728577",0
"551","970052613881368578",0
"552","970052501897711616",0
"553","970052468905316352",1
"554","970052462630592512",2
"555","970052446201540613",0
"556","970052334293315584",4
"557","970052256862175233",13
"558","970052170946097152",0
"559","970052044911448069",0
"560","970051860349505541",0
"561","970051715587346434",0
"562","970051700256997377",0
"563","970051655529107456",0
"564","970051636881252353",0
"565","970051619596324865",5
"566","970051591289081856",4
"567","970051403384320001",5
"568","970051324594278401",6
"569","970051000219439104",16
"570","970050980237774848",0
"571","970050961644269569",1
"572","970050702167822336",0
"573","970050439155773442",1
"574","970050279327567872",3
"575","970049921595437057",2
"576","970049896257675264",0
"577","970048803129774080",0
"578","970048730413129729",0
"579","970048699421347840",1
"580","970048671436881920",1
"581","970048670447079424",3
"582","970048141448941571",0
"583","970047937592967170",0
"584","970047670378291202",4
"585","970047380656664577",0
"586","970047349337743361",9
"587","970047341523849216",10
"588","970047043011039237",1
"589","970046573819453440",0
"590","970046432261521408",0
"591","970046378750734338",1
"592","970046321385238533",1
"593","970046190740848646",1
"594","970046091482804226",1
"595","970046072155451392",5
"596","970046031474937858",2
"597","970045873790115843",3
"598","970045740251627520",1
"599","970045579542765568",0
"600","970045396423790593",5
"601","970045275837550592",3
"602","970045189283893248",0
"603","970045127409446914",1
"604","970045017577480192",0
"605","970044926703661059",0
"606","970044910001901576",3
"607","970044896475320325",1
"608","970044875566612480",4
"609","970044726010417153",0
"610","970044653130141696",0
"611","970044631940386816",12
"612","970044467611930626",1
"613","970044378700972035",0
"614","970044300850589697",2
"615","970044232642768897",4
"616","970044201411936256",0
"617","970044173868064768",4
"618","970044112693952513",0
"619","970044043051831296",1
"620","970043774217998338",1
"621","970043676180275200",4
"622","970043637298954240",0
"623","970042740493996033",0
"624","970042663264292864",3
"625","970042500554555393",5
"626","970042294706503680",6
"627","970042257964285952",0
"628","970042098153132033",0
"629","970041628143517696",0
"630","970041544362348544",3
"631","970041359380951040",4
"632","970041308835405824",5
"633","970041257601982466",3
"634","970041218548854784",0
"635","970041147677528064",1
"636","970041121463189504",3
"637","970041120829865984",0
"638","970041017499029504",13
"639","970040897013473282",0
"640","970040729639649280",1
"641","970040553353117699",0
"642","970040467688697856",0
"643","970040461854257152",1
"644","970040359794479110",0
"645","970040300499595264",0
"646","970040227321536512",0
"647","970039932667523073",3
"648","970039413005746179",0
"649","970039375039029248",0
"650","970039361529147392",8
"651","970039157820182528",5
"652","970039130091675649",6
"653","970038866659958784",5
"654","970038854844583936",0
"655","970038700938747904",0
"656","970038571582320641",2
"657","970037950208790528",4
"658","970037885448675331",9
"659","970037825667239936",2
"660","970037767727144960",2
"661","970037659283415041",0
"662","970037563225407488",0
"663","970037501250371584",2
"664","970037460964081664",2
"665","970037312074559488",7
"666","970037135771357185",2
"667","970036734250676224",0
"668","970036715137224705",2
"669","970036669746483201",1
"670","970036602549493761",2
"671","970036458227666946",0
"672","970036395443146752",0
"673","970036001891651585",1
"674","970035924439584768",3
"675","970035818126594049",1
"676","970035739143622656",9
"677","970035481026101248",0
"678","970035158555549696",1
"679","970034919660548097",0
"680","970034531712536577",3
"681","970034526851420160",7
"682","970034280586973184",4
"683","970034063682756608",3
"684","970033996171173888",2
"685","970033924993937408",0
"686","970033807712833536",3
"687","970033640406007811",0
"688","970033592045854720",0
"689","970033591269904384",0
"690","970033588124225541",2
"691","970033571728707586",1
"692","970033570893856769",0
"693","970033460525101056",0
"694","970033443999485953",0
"695","970033440568602624",1
"696","970033247534174210",9
"697","970033087135600644",0
"698","970033077421518848",0
"699","970032537232867328",0
"700","970032245057769474",0
"701","970032230138564608",0
"702","970032090438885376",0
"703","970032017890037760",1
"704","970031885312180225",0
"705","970031828970168320",2
"706","970031623532986374",0
"707","970031484454211586",11
"708","970031379567251457",1
"709","970031343865393152",3
"710","970031274411765761",3
"711","970031199380017156",4
"712","970031142480039937",1
"713","970031055406321665",2
"714","970031020622991361",7
"715","970030972723920896",2
"716","970030919284330496",2
"717","970030859494490113",3
"718","970030858563411968",0
"719","970030456027705346",4
"720","970030408766230528",3
"721","970030397802369024",1
"722","970030382317031424",6
"723","970030339522375681",2
"724","970030295700398080",12
"725","970030272661123073",0
"726","970030270136143879",0
"727","970030264989700096",4
"728","970030031908024320",0
"729","970029988920659968",0
"730","970029966048993280",17
"731","970029951096426496",0
"732","970029854056906752",1
"733","970029835727843328",1
"734","970029609197752323",0
"735","970029397154680838",0
"736","970029338904092672",0
"737","970029260151885824",1
"738","970029202861953026",0
"739","970029197140865025",2
"740","970029058166808576",5
"741","970028829015232519",0
"742","970028700405305344",0
"743","970028538224136193",2
"744","970028430690578433",0
"745","970028409677107207",1
"746","970028142969704449",0
"747","970027907832741888",3
"748","970027898953453569",1
"749","970027883791044610",0
"750","970027743378276353",4
"751","970027317958529026",14
"752","970027072847597569",2
"753","970027038122921989",0
"754","970026916970401803",0
"755","970026716277149696",5
"756","970026707330609152",2
"757","970026624392589312",2
"758","970026525079756800",3
"759","970026406532009984",0
"760","970026322239066112",0
"761","970026285144698881",0
"762","970026273819918336",0
"763","970026190638583818",2
"764","970026099672539136",1
"765","970026080022224898",4
"766","970026060149530624",2
"767","970026033570353152",4
"768","970026021985640449",0
"769","970025947675152384",2
"770","970025715423887365",4
"771","970025246731497472",5
"772","970024970368798721",0
"773","970024942661124096",0
"774","970024775992168449",5
"775","970024772993208320",2
"776","970024658782351360",3
"777","970024596358483969",0
"778","970024588347293696",0
"779","970024525000773633",3
"780","970024440883916800",0
"781","970024327352532993",0
"782","970024233962176512",0
"783","970024216845307905",22
"784","970024195131355136",0
"785","970023540383678469",1
"786","970023535748923392",0
"787","970023494519050241",1
"788","970023475149713409",0
"789","970023335299043329",0
"790","970023161759715328",1
"791","970023133175599109",2
"792","970023093740756992",2
"793","970022854468173824",0
"794","970022783165059072",0
"795","970022662151004160",1
"796","970022506894647297",6
"797","970022392562180096",8
"798","970022361268301824",0
"799","970022239604224009",1
"800","970021824649195520",3
"801","970021743082463232",41
"802","970020858772312065",3
"803","970020798349041669",0
"804","970020751465156608",0
"805","970020731844259840",1
"806","970020724546076672",0
"807","970020698788806657",0
"808","970020545076097027",1
"809","970020402293559297",1
"810","970020319397367809",0
"811","970020288749621248",0
"812","970020222974472192",7
"813","970020198274265089",6
"814","970019727568457728",0
"815","970019661428461568",5
"816","970019551151828993",0
"817","970019350462820353",6
"818","970019335568633856",0
"819","970019227116519425",2
"820","970019069683470343",9
"821","970018977970900993",0
"822","970018900661465088",0
"823","970018752875163651",0
"824","970018587728646146",4
"825","970018548981563393",2
"826","970018521022255104",0
"827","970018477095489536",2
"828","970018473253498882",1
"829","970018450373406721",0
"830","970018316390748161",2
"831","970017812772261892",4
"832","970017596027359233",3
"833","970017580982394880",1
"834","970017481522909184",0
"835","970017455727890432",2
"836","970017339604430848",14
"837","970017328799862785",2
"838","970017122184253445",7
"839","970017051925450752",0
"840","970016767769800704",1
"841","970016514245054466",0
"842","970016254026186754",1
"843","970016241653047297",2
"844","970016162531614721",0
"845","970016085637509120",1
"846","970016007308722177",1
"847","970015894016466944",0
"848","970015885846032386",0
"849","970015701493866497",5
"850","970015667104768000",0
"851","970015507645632513",0
"852","970015136135094272",0
"853","970015067398864903",21
"854","970014897479340032",2
"855","970014803363278852",0
"856","970014400819146759",0
"857","970014399414128640",2
"858","970014354887323648",0
"859","970014193372942336",14
"860","970014190906892288",2
"861","970014088158998528",1
"862","970013982932258817",0
"863","970013920357478402",2
"864","970013883829309440",2
"865","970013851344240640",0
"866","970013742086918144",0
"867","970013676324339712",29
"868","970013674114113538",0
"869","970013599421927424",1
"870","970013469264302080",3
"871","970013454974164992",9
"872","970013331019857920",3
"873","970013229748453377",0
"874","970013152879443970",5
"875","970013142322503683",3
"876","970012962353307649",0
"877","970012953348050945",27
"878","970012933022511105",0
"879","970012863183044608",3
"880","970012564292882435",6
"881","970012348562989056",2
"882","970012336676311040",4
"883","970012331647303680",0
"884","970012196695625728",2
"885","970012114948673536",0
"886","970012096003010560",0
"887","970012044366897152",2
"888","970012038184558594",0
"889","970011861075677185",5
"890","970011729584271360",0
"891","970011618120732672",2
"892","970011571412848640",24
"893","970011487443005441",4
"894","970011437694414848",4
"895","970011415036735489",4
"896","970011409751912449",0
"897","970011278180728833",0
"898","970011175613329408",1
"899","970011051231272960",3
"900","970011035376734208",0
"901","970011029370437632",5
"902","970011005056176129",0
"903","970010958193143808",3
"904","970010933476184065",32
"905","970010933106966528",6
"906","970010926920462337",1
"907","970010926391767040",0
"908","970010923376111616",5
"909","970010916002697216",7
"910","970010661223673856",0
"911","970010418704941056",1
"912","970010368981442560",3
"913","970010207148441601",0
"914","970010118854234112",4
"915","970009684546674688",3
"916","970009551125778439",5
"917","970009451326357504",0
"918","970009255788072960",0
"919","970009245348454409",3
"920","970009199886389248",0
"921","970008971544334336",7
"922","970008734004105218",1
"923","970008507650138115",8
"924","970008405413740544",4
"925","970008377056260098",0
"926","970008074130878464",0
"927","970007996959924224",0
"928","970007912654483457",5
"929","970007760984096768",2
"930","970007750074748928",8
"931","970007566116839424",11
"932","970007449636917248",2
"933","970007347098681345",0
"934","970007311216496640",0
"935","970007268811943936",2
"936","970007212621000704",5
"937","970007195835236352",6
"938","970006836219973633",0
"939","970006827009302528",1
"940","970006817081384960",0
"941","970006724575989760",0
"942","970006555667165184",4
"943","970006526797729793",0
"944","970005893650640896",3
"945","970005523008499713",2
"946","970005394910302208",0
"947","970005384986587138",2
"948","970005159827968001",0
"949","970004919964045318",0
"950","970004716200620032",4
"951","970004581651566592",0
"952","970004568187785219",2
"953","970004483366445059",0
"954","970004416215515137",27
"955","970004380438138880",0
"956","970004376944365569",15
"957","970003609340600320",1
"958","970003490767597568",2
"959","970003431090999297",0
"960","970003390142078976",3
"961","970003376976158720",1
"962","970003375373869066",4
"963","970003212064509954",0
"964","970002742042415104",2
"965","970002717467869184",8
"966","970002661440479232",1
"967","970002652846280705",13
"968","970002617244905472",0
"969","970002486219198464",0
"970","970002450831888392",0
"971","970002449158299654",0
"972","970002444112547840",0
"973","970002285735669760",1
"974","970002284078944256",3
"975","970002068730621953",1
"976","970001584137625600",2
"977","970001443687190528",0
"978","970001223331074048",0
"979","970001140606820357",0
"980","970001129571606529",5
"981","970001040123850752",0
"982","970000965611827200",1
"983","970000957919678471",5
"984","970000890194210818",19
"985","970000848712622080",0
"986","970000726641475585",0
"987","970000426484551685",0
"988","970000370402516992",0
"989","969999692783345664",0
"990","969999597564084224",4
"991","969999566769741824",0
"992","969999478051823616",0
"993","969999320979304448",9
"994","969999298778877952",4
"995","969999150518538240",0
"996","969999130985721858",6
"997","969999054892650496",1
"998","969999000794468352",4
"999","969998995148943360",1
"1000","969998958515933184",0
"1001","969998780178337794",0
"1002","969998551341203457",55
"1003","969998535486791680",1
"1004","969998442234703872",2
"1005","969998380884791298",26
"1006","969998379769090054",0
"1007","969997869603270657",0
"1008","969997838745767943",0
"1009","969997677873303552",2
"1010","969997614526627841",6
"1011","969997611905306624",4
"1012","969997577662947329",2
"1013","969997539536789504",2
"1014","969997498365415424",0
"1015","969997369415798784",7
"1016","969997349434150913",33
"1017","969997303481274368",0
"1018","969997191082336257",2
"1019","969997169506816000",0
"1020","969997081850077185",0
"1021","969997038845906945",10
"1022","969996877226827783",0
"1023","969996551367155712",0
"1024","969996501807259648",0
"1025","969996362979987456",1
"1026","969996360362745868",0
"1027","969996326158192640",4
"1028","969996320361668608",1
"1029","969996216762294272",8
"1030","969996105273561088",2
"1031","969996026928091136",0
"1032","969995927787274242",1
"1033","969995923681169409",3
"1034","969995856895270913",3
"1035","969995831699849216",1
"1036","969995823760232449",1
"1037","969995823315431424",0
"1038","969995578880004096",3
"1039","969995535196262400",0
"1040","969995418582028293",4
"1041","969995322616360962",2
"1042","969994949109469185",2
"1043","969994921452232704",2
"1044","969994561056624640",3
"1045","969994465447378944",1
"1046","969994259188285440",7
"1047","969994198425288704",1
"1048","969994173934956545",3
"1049","969994131954167809",4
"1050","969993842299736067",5
"1051","969993771969662976",0
"1052","969993639941234688",0
"1053","969993628448952320",1
"1054","969993410852589568",4
"1055","969993127573549056",0
"1056","969993126466244610",0
"1057","969993123756756998",0
"1058","969993031930843136",0
"1059","969992968638738433",0
"1060","969992806071701505",2
"1061","969992619525853184",3
"1062","969992494757724160",21
"1063","969991359234011147",3
"1064","969991342498525184",1
"1065","969991195744116736",2
"1066","969991124625559552",1
"1067","969991108490080256",4
"1068","969991060335316993",10
"1069","969991035542700032",2
"1070","969990938494996480",0
"1071","969990565709467649",7
"1072","969990433358123009",23
"1073","969990250092220416",0
"1074","969990151932923904",5
"1075","969990130214645760",0
"1076","969989908143267845",15
"1077","969989866455904257",0
"1078","969989825582583808",0
"1079","969989752177987585",2
"1080","969989560938762241",9
"1081","969989542726967296",0
"1082","969989497860497408",1
"1083","969989313894199296",0
"1084","969989287595970561",3
"1085","969989052366811137",16
"1086","969989049195880448",12
"1087","969988969600618496",2
"1088","969988931394600961",6
"1089","969988872498130944",1
"1090","969988694475190272",0
"1091","969988504078966784",2
"1092","969988388664332291",0
"1093","969988367105642496",0
"1094","969988276374376454",0
"1095","969988184854618112",0
"1096","969988085558648833",5
"1097","969988031838027776",6
"1098","969987926808461313",7
"1099","969987906994692096",12
"1100","969987743857160192",0
"1101","969987715960893440",3
"1102","969987246320488448",1
"1103","969987014341914624",0
"1104","969986973837549569",1
"1105","969986751333847041",2
"1106","969986748242685955",0
"1107","969986164655640577",1
"1108","969986119839485954",0
"1109","969986089346912259",0
"1110","969985981343510528",0
"1111","969985911583838208",8
"1112","969985757128507392",0
"1113","969985567160184832",4
"1114","969985350083911681",4
"1115","969985292160655361",0
"1116","969984537773137920",0
"1117","969984497868464129",0
"1118","969984079318933504",2
"1119","969983849873793025",5
"1120","969983794563366912",2
"1121","969983756542103552",4
"1122","969983491289972736",4
"1123","969983423468199936",0
"1124","969983283294539777",0
"1125","969983000179040258",0
"1126","969982988317536257",3
"1127","969982886559518723",0
"1128","969982854825480192",3
"1129","969982830594883589",2
"1130","969982780909203456",0
"1131","969982766610661376",0
"1132","969982516936527872",0
"1133","969982486070595585",0
"1134","969982482383695872",0
"1135","969982048449409026",1
"1136","969982044288770048",3
"1137","969982043647078400",11
"1138","969981996196880384",14
"1139","969981967663095809",0
"1140","969981929696133122",0
"1141","969981739891380225",0
"1142","969981713278492672",1
"1143","969981694177628160",4
"1144","969981664452599808",1
"1145","969981248465788929",0
"1146","969981158992764928",0
"1147","969981150482587653",6
"1148","969981116244520960",0
"1149","969981092060188672",3
"1150","969981051878629376",2
"1151","969981043720835072",2
